mscn_sol,JPL
mscn,211
lat,
lon,
mscn_area,113393.5974
CRI Filter,land
land_area,9807.7398
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,cmwe
106.5,16.649
129.5,20.813
227.5,4.075
258,-1.984
288.5,8.224
319,4.659
349.5,7.039
380.5,10.076
410,7.732
439.5,12.188
470,10.58
495.5,15.637
561.5,4.338
592.5,-6.954
623,-8.311
653,-1.907
684,0.996
714.5,3.921
736.5,4.174
777,5.574
805.5,6.179
836,12.64
866.5,13.156
897,13.298
927.5,2.329
958.5,-3.748
989,-8.544
1019.5,-9.45
1050,-2.263
1080.5,2.792
1111.5,6.028
1141,2.363
1170.5,9.769
1201,12.351
1231.5,13.681
1262,14.988
1292.5,2.039
1323.5,-6.646
1354,-10.838
1384.5,-4.401
1415,-2.323
1445.5,0.965
1476.5,1.969
1506,8.937
1535.5,6.933
1566,5.586
1596.5,12.109
1627,12.607
1657.5,4.856
1688.5,-4.403
1719,-9.592
1749.5,-0.431
1780,-4.929
1810.5,0.44
1841.5,1.019
1871,8.835
1900.5,6.079
1931,4.804
1961.5,12.575
1992,12.378
2022.5,1.702
2053.5,-12.481
2084,-16.251
2114.5,-10.044
2145,-11.69
2175.5,-3.977
2206.5,-2.794
2236.5,-1.754
2266.5,3.662
2297,7.765
2327.5,7.738
2358,7.865
2388.5,-5.874
2419.5,-18.234
2450,-19.765
2480.5,-15.764
2511,-7.287
2541.5,-0.795
2572.5,2.782
2602,1.261
2631.5,1.576
2662,4.148
2692.5,4.895
2723,4.257
2753.5,-2.125
2784.5,-16.227
2815,-22.951
2845.5,-14.49
2876,-11.259
2906.5,-7.776
2937.5,-6.13
2967,-2.631
2996.5,-1.092
3027,-3.09
3057.5,3.124
3088,0.279
3118.5,-14.273
3149.5,-27.366
3180,-31.998
3210.5,-30.049
3241,-25.862
3269.5,-26.767
3335.5,-11.866
3361.5,-15.933
3392,-13.675
3422.5,-7.367
3485.5,-21.984
3514.5,-37.421
3545,-38.697
3575.5,-39.385
3591.5,-36.941
3652,-30.408
3667.5,-33.558
3697.5,-26.997
3727.5,-28.168
3746.5,-22.219
3819,-14.773
3849.5,-38.93
3880.5,-59.029
3908,-61.445
3974.5,-45.041
4002.5,-45.458
4033.5,-45.888
4062,-43.04
4128,-40.485
4153.5,-40.386
4184,-39.626
4214.5,-46.26
4306.5,-48.941
4337,-45.823
4367.5,-42.512
4391.5,-35.079
4457.5,-42.282
4488,-43.267
4518.5,-37.054
4546,-30.425
4610.5,-61.997
4641,-66.922
4671.5,-55.015
4703,-47.855
4769.5,-45.528
4793,-43.305
4822.5,-45.795
4853,-43.812
4864,-41.127
4943.5,-50.211
4975.5,-60.298
5004.5,-57.939
5104.5,-45.33
5128.5,-42.598
5157,-42.899
5188.5,-49.823
5253,-41.081
5280,-40.383
5309.5,-50.613
5346.5,-69.826
5444.5,-55.403
5471.5,-52.041
5499,-47.376
5568.5,-50.758
5592.5,-52.379
5610.5,-52.515
5640,-48.357
