mscn_sol,JPL
mscn,58
lat,
lon,
mscn_area,115926.8779
CRI Filter,land
land_area,115926.8779
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,Gt
106.5,-4.228
129.5,-6.008
227.5,-13.729
258,-13.934
288.5,-14.926
319,-15.018
349.5,-15.676
380.5,-13.889
410,-15.034
439.5,-13.695
470,-14.451
495.5,-14.523
561.5,-17.261
592.5,-17.642
623,-15.526
653,-16.389
684,-16.915
714.5,-14.974
736.5,-15.721
777,-14.844
805.5,-15.466
836,-15.549
866.5,-16.134
897,-14.973
927.5,-15.283
958.5,-16.382
989,-17.288
1019.5,-16.385
1050,-16.059
1080.5,-13.842
1111.5,-14.434
1141,-13.818
1170.5,-11.906
1201,-12.073
1231.5,-10.223
1262,-8.979
1292.5,-11.888
1323.5,-12.782
1354,-13.379
1384.5,-11.202
1415,-10.431
1445.5,-8.12
1476.5,-8.347
1506,-6.505
1535.5,-4.904
1566,-3.451
1596.5,-2.498
1627,-0.757
1657.5,-1.231
1688.5,-1.178
1719,-0.325
1749.5,1.208
1780,2.816
1810.5,3.011
1841.5,2.66
1871,5.339
1900.5,6.012
1931,5.994
1961.5,6.118
1992,7.136
2022.5,6.529
2053.5,6.422
2084,6.462
2114.5,5.123
2145,5.272
2175.5,7.735
2206.5,8.407
2236.5,10.167
2266.5,11.936
2297,12.026
2327.5,12.63
2358,12.545
2388.5,11.197
2419.5,9.185
2450,9.198
2480.5,9.483
2511,9.9
2541.5,11.712
2572.5,13.541
2602,11.929
2631.5,11.931
2662,13.135
2692.5,12.952
2723,14.662
2753.5,12.987
2784.5,10.189
2815,11.133
2845.5,12.707
2876,12.398
2906.5,12.571
2937.5,14.757
2967,14.132
2996.5,16.02
3027,15.044
3057.5,17.143
3088,16.328
3118.5,13.411
3149.5,13.225
3180,13.973
3210.5,15.757
3241,15.809
3269.5,17.84
3335.5,20.793
3361.5,21.836
3392,22.829
3422.5,23.449
3485.5,24.384
3514.5,25.165
3545,26.608
3575.5,25.879
3591.5,27.107
3652,30.057
3667.5,30.289
3697.5,31.591
3727.5,34.719
3746.5,34.743
3819,37.051
3849.5,36.374
3880.5,34.906
3908,35.296
3974.5,37.06
4002.5,36.748
4033.5,38.036
4062,37.499
4128,39.424
4153.5,39.967
4184,40.448
4214.5,37.395
4306.5,43.639
4337,43.833
4367.5,43.998
4391.5,44.088
4457.5,46.33
4488,46.536
4518.5,46.252
4546,44.983
4610.5,45.799
4641,46.303
4671.5,46.477
4703,48.474
4769.5,48.703
4793,51.408
4822.5,53.074
4853,51.869
4864,51.984
4943.5,51.854
4975.5,51.395
5004.5,50.45
5104.5,52.746
5128.5,53.375
5157,54.034
5188.5,53.811
5253,55.235
5280,56.298
5309.5,53.997
5346.5,52.108
5444.5,58.1
5471.5,58.627
5499,59.245
5568.5,59.051
5592.5,57.37
5610.5,55.589
5640,56.448
