mscn_sol,JPL
mscn,34
lat,
lon,
mscn_area,116299.1143
CRI Filter,land
land_area,107890.2156
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,cmwe
106.5,27.51
129.5,28.442
227.5,18.867
258,17.235
288.5,16.702
319,17.905
349.5,17.033
380.5,17.136
410,18.258
439.5,18.671
470,17.805
495.5,17.433
561.5,11.261
592.5,7.774
623,8.62
653,7.367
684,7.94
714.5,10.66
736.5,10.535
777,11.146
805.5,10.215
836,12.339
866.5,8.671
897,8.324
927.5,7.602
958.5,2.625
989,1.995
1019.5,1.577
1050,4.037
1080.5,7.744
1111.5,8.371
1141,8.029
1170.5,8.119
1201,6.58
1231.5,6.684
1262,5.471
1292.5,-0.373
1323.5,-5.417
1354,-4.968
1384.5,-3.299
1415,-2.514
1445.5,-0.625
1476.5,0.567
1506,-0.32
1535.5,-0.521
1566,0.269
1596.5,0.162
1627,1.24
1657.5,-1.029
1688.5,-1.733
1719,-1.764
1749.5,-2.315
1780,1.223
1810.5,4.079
1841.5,3.691
1871,3.066
1900.5,6.344
1931,6.375
1961.5,5.029
1992,4.196
2022.5,3.66
2053.5,1.256
2084,0.316
2114.5,-1.485
2145,0.185
2175.5,3.691
2206.5,5.045
2236.5,4.962
2266.5,6.079
2297,4.42
2327.5,2.988
2358,2.645
2388.5,-2.622
2419.5,-9.304
2450,-10.529
2480.5,-10.022
2511,-8.478
2541.5,-6.09
2572.5,-5.872
2602,-7.5
2631.5,-8.084
2662,-6.386
2692.5,-5.638
2723,-6.329
2753.5,-10.905
2784.5,-15.788
2815,-16.047
2845.5,-16.322
2876,-15
2906.5,-14.273
2937.5,-13.422
2967,-13.938
2996.5,-13.642
3027,-14.201
3057.5,-12.055
3088,-13.147
3118.5,-19.675
3149.5,-23.311
3180,-22.234
3210.5,-20.11
3241,-18.954
3269.5,-16.198
3335.5,-14.604
3361.5,-11.869
3392,-12.196
3422.5,-14.752
3485.5,-21.196
3514.5,-26.881
3545,-27.581
3575.5,-28.112
3591.5,-26.896
3652,-21.493
3667.5,-22.386
3697.5,-22.583
3727.5,-19.416
3746.5,-22.396
3819,-24.688
3849.5,-29.643
3880.5,-36.76
3908,-37.763
3974.5,-35.832
4002.5,-38.079
4033.5,-33.766
4062,-35.231
4128,-36.323
4153.5,-35.051
4184,-32.701
4214.5,-36.407
4306.5,-34.577
4337,-32.388
4367.5,-30.6
4391.5,-31.912
4457.5,-30.108
4488,-31.599
4518.5,-32.511
4546,-33.662
4610.5,-41.073
4641,-40.973
4671.5,-40.431
4703,-39.106
4769.5,-38.704
4793,-36.936
4822.5,-36.159
4853,-37.839
4864,-38.443
4943.5,-48.706
4975.5,-51.527
5004.5,-52.945
5104.5,-51.899
5128.5,-53.068
5157,-49.895
5188.5,-51.037
5253,-53.023
5280,-51.202
5309.5,-56.022
5346.5,-61.075
5444.5,-55.379
5471.5,-55.238
5499,-51.252
5568.5,-52.386
5592.5,-54.948
5610.5,-55.502
5640,-52.312
