mscn_sol,JPL
mscn,35
lat,
lon,
mscn_area,116299.1143
CRI Filter,land
land_area,113267.6862
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,cmwe
106.5,55.415
129.5,60.314
227.5,41.353
258,40.029
288.5,38.683
319,38.244
349.5,38.018
380.5,38.679
410,40.378
439.5,41.639
470,39.228
495.5,38.128
561.5,30.954
592.5,23.359
623,24.265
653,21.549
684,22.826
714.5,26.764
736.5,24.446
777,27.078
805.5,24.91
836,25.658
866.5,23.805
897,23.351
927.5,21.124
958.5,11.28
989,9.722
1019.5,8.721
1050,11.508
1080.5,16.744
1111.5,18.195
1141,16.566
1170.5,14.651
1201,14.392
1231.5,16.462
1262,12.686
1292.5,1.789
1323.5,-5.38
1354,-3.809
1384.5,-2.205
1415,-0.699
1445.5,2.479
1476.5,4.419
1506,3.42
1535.5,4.321
1566,7.031
1596.5,8.862
1627,8.186
1657.5,5.245
1688.5,3.761
1719,3.13
1749.5,2.629
1780,5.82
1810.5,9.753
1841.5,9.746
1871,7.738
1900.5,11.3
1931,13.016
1961.5,11.662
1992,8.544
2022.5,7.42
2053.5,1.945
2084,-1.102
2114.5,-3.482
2145,-1.395
2175.5,4.284
2206.5,6.62
2236.5,3.572
2266.5,4.177
2297,1.142
2327.5,-0.313
2358,1.669
2388.5,-10.788
2419.5,-23.944
2450,-27.355
2480.5,-24.3
2511,-20.847
2541.5,-18.992
2572.5,-20.343
2602,-22.179
2631.5,-23.468
2662,-20.302
2692.5,-20.297
2723,-23.397
2753.5,-30.206
2784.5,-36.15
2815,-37.16
2845.5,-37.9
2876,-34.779
2906.5,-34.194
2937.5,-34.767
2967,-34.917
2996.5,-35.088
3027,-36.206
3057.5,-35.371
3088,-38.418
3118.5,-47.382
3149.5,-53.265
3180,-53.864
3210.5,-52.458
3241,-53.164
3269.5,-50.494
3335.5,-47.581
3361.5,-46.692
3392,-49.829
3422.5,-51.573
3485.5,-57.96
3514.5,-67.787
3545,-69.867
3575.5,-71.528
3591.5,-71.26
3652,-62.134
3667.5,-63.787
3697.5,-64.636
3727.5,-62.163
3746.5,-66.326
3819,-67.345
3849.5,-75.103
3880.5,-90.747
3908,-89.437
3974.5,-85.239
4002.5,-88.083
4033.5,-87.545
4062,-86.768
4128,-87.514
4153.5,-85.548
4184,-85.943
4214.5,-93.745
4306.5,-89.954
4337,-89.775
4367.5,-87.058
4391.5,-88.704
4457.5,-85.07
4488,-87.321
4518.5,-90.025
4546,-93.092
4610.5,-103.632
4641,-105.994
4671.5,-106.269
4703,-102.666
4769.5,-96.815
4793,-96.65
4822.5,-93.403
4853,-94.313
4864,-93.579
4943.5,-107.368
4975.5,-116.519
5004.5,-117.83
5104.5,-115.097
5128.5,-115.479
5157,-111.094
5188.5,-112.639
5253,-113.612
5280,-111.872
5309.5,-121.775
5346.5,-129.736
5444.5,-123.896
5471.5,-127.772
5499,-122.633
5568.5,-124.272
5592.5,-131.15
5610.5,-133.374
5640,-130.882
