mscn_sol,JPL
mscn,125
lat,
lon,
mscn_area,114867.2792
CRI Filter,land
land_area,114867.2792
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,cmwe
106.5,-5.946
129.5,-5.715
227.5,-11.856
258,-10.454
288.5,-9.468
319,-8.122
349.5,-8.439
380.5,-7.015
410,-7.972
439.5,-5.814
470,-5.749
495.5,-5.607
561.5,-8.393
592.5,-9.196
623,-6.93
653,-7.37
684,-6.349
714.5,-4.456
736.5,-5.628
777,-4.248
805.5,-3.66
836,-2.511
866.5,-3.151
897,-3.724
927.5,-4.327
958.5,-6.22
989,-6.81
1019.5,-6.339
1050,-5.043
1080.5,-3.287
1111.5,-3.076
1141,-2.798
1170.5,-1.507
1201,-2.138
1231.5,-0.672
1262,-1.428
1292.5,-3.737
1323.5,-6.577
1354,-7.928
1384.5,-6.404
1415,-6.408
1445.5,-4.625
1476.5,-4.877
1506,-3.416
1535.5,-2.26
1566,-1.268
1596.5,-2.672
1627,-1.975
1657.5,-3.52
1688.5,-5.154
1719,-5.061
1749.5,-4.187
1780,-3.305
1810.5,-3.035
1841.5,-3.446
1871,-0.418
1900.5,-0.086
1931,-0.871
1961.5,-0.11
1992,-0.387
2022.5,-3.685
2053.5,-4.827
2084,-5.135
2114.5,-5.673
2145,-4.764
2175.5,-3.306
2206.5,-2.086
2236.5,0.042
2266.5,3.589
2297,3.056
2327.5,3.162
2358,3.96
2388.5,3.507
2419.5,2.678
2450,4.025
2480.5,6.043
2511,6.769
2541.5,9.692
2572.5,11.88
2602,11.042
2631.5,11.448
2662,11.367
2692.5,12.08
2723,12.993
2753.5,11.798
2784.5,8.825
2815,9.177
2845.5,10.471
2876,10.517
2906.5,9.65
2937.5,12.004
2967,11.459
2996.5,12.939
3027,11.668
3057.5,13.383
3088,11.836
3118.5,8.986
3149.5,6.683
3180,8.296
3210.5,10.135
3241,9.994
3269.5,12.475
3335.5,15.007
3361.5,15.349
3392,16.898
3422.5,15.846
3485.5,13.948
3514.5,11.912
3545,12.311
3575.5,13.194
3591.5,14.509
3652,16.328
3667.5,16.366
3697.5,18.007
3727.5,19.963
3746.5,20.318
3819,21.016
3849.5,18.028
3880.5,13.277
3908,13.829
3974.5,14.92
4002.5,15.615
4033.5,15.923
4062,14.997
4128,18.755
4153.5,19.487
4184,19.334
4214.5,15.108
4306.5,21.26
4337,21.481
4367.5,23.505
4391.5,24.225
4457.5,25.856
4488,26.952
4518.5,27.123
4546,27.262
4610.5,24.048
4641,25.26
4671.5,26.042
4703,28.129
4769.5,30.214
4793,32.97
4822.5,34.145
4853,32.91
4864,32.508
4943.5,28.666
4975.5,27.84
5004.5,29.969
5104.5,34.725
5128.5,35.077
5157,35.296
5188.5,36.869
5253,38.672
5280,38.827
5309.5,35.116
5346.5,32.415
5444.5,36.557
5471.5,37.731
5499,37.182
5568.5,35.739
5592.5,34.879
5610.5,34.515
5640,37.432
