mscn_sol,JPL
mscn,18
lat,
lon,
mscn_area,116565.4355
CRI Filter,land
land_area,10705.4902
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,cmwe
106.5,-134.019
129.5,-127.243
227.5,-16.738
258,46.144
288.5,40.552
319,5.96
349.5,-40.234
380.5,-22.035
410,-153.418
439.5,-94.536
470,-67.269
495.5,-36.465
561.5,-25.014
592.5,-47.336
623,-28.025
653,3.789
684,-40.779
714.5,-91.09
736.5,-157.64
777,-142.626
805.5,-110.565
836,-165.984
866.5,-117.94
897,-19.147
927.5,-41.875
958.5,15.333
989,50.006
1019.5,51.07
1050,-21.421
1080.5,-113.965
1111.5,-178.214
1141,-196.095
1170.5,-112.756
1201,-116.855
1231.5,-67.769
1262,17.729
1292.5,30.468
1323.5,36.019
1354,-29.578
1384.5,-36.038
1415,-34.977
1445.5,-56.4
1476.5,-189.092
1506,-112.601
1535.5,-54.486
1566,-115.255
1596.5,-42.491
1627,-20.99
1657.5,27.126
1688.5,-2.593
1719,23.973
1749.5,118.052
1780,30.22
1810.5,-109.938
1841.5,-95.891
1871,9.843
1900.5,-71.838
1931,-47.765
1961.5,33.387
1992,79.86
2022.5,107.396
2053.5,71.577
2084,97.242
2114.5,107.965
2145,50.324
2175.5,26.422
2206.5,2.436
2236.5,-27.896
2266.5,14.527
2297,35.737
2327.5,77.321
2358,88.19
2388.5,101.745
2419.5,109.983
2450,120.58
2480.5,106.494
2511,43.924
2541.5,4.561
2572.5,-1.972
2602,13.922
2631.5,-2.673
2662,15.377
2692.5,40.02
2723,137.171
2753.5,160.256
2784.5,116.757
2815,104.658
2845.5,160.395
2876,131.182
2906.5,46.08
2937.5,25
2967,-0.834
2996.5,50.006
3027,14.027
3057.5,72.953
3088,111.798
3118.5,122.79
3149.5,131.62
3180,161.797
3210.5,207.98
3241,161.243
3269.5,113.352
3335.5,23.796
3361.5,-33.08
3392,-34.408
3422.5,73.325
3485.5,137.045
3514.5,190.259
3545,207.734
3575.5,164.852
3591.5,129.112
3652,19.41
3667.5,1.386
3697.5,2.905
3727.5,10.054
3746.5,60.197
3819,166.957
3849.5,197.289
3880.5,205.404
3908,178.602
3974.5,144.86
4002.5,178.266
4033.5,146.991
4062,182.921
4128,151.49
4153.5,159.333
4184,210.292
4214.5,233.944
4306.5,278.561
4337,249.637
4367.5,153.37
4391.5,165.413
4457.5,153.563
4488,194.929
4518.5,208.182
4546,235.865
4610.5,303.815
4641,310.809
4671.5,293.984
4703,278.18
4769.5,145.342
4793,134.904
4822.5,142.186
4853,195.986
4864,224.438
4943.5,310.932
4975.5,321.049
5004.5,321.036
5104.5,144.795
5128.5,239.117
5157,188.104
5188.5,181.888
5253,242.36
5280,261.709
5309.5,300.567
5346.5,206.945
5444.5,262.267
5471.5,156.252
5499,102.244
5568.5,98.569
5592.5,150.252
5610.5,199.674
5640,228.052
