mscn_sol,JPL
mscn,17
lat,
lon,
mscn_area,116565.4355
CRI Filter,land
land_area,20184.4214
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,cmwe
106.5,8.515
129.5,23.102
227.5,49.665
258,48.912
288.5,50.861
319,44.865
349.5,31.869
380.5,27.139
410,7.336
439.5,24.741
470,44.304
495.5,33.099
561.5,47.263
592.5,30.808
623,25.779
653,34.177
684,25.429
714.5,25.031
736.5,8.987
777,19.435
805.5,16.278
836,19.167
866.5,26.673
897,34.119
927.5,19.085
958.5,7.961
989,11.67
1019.5,26.639
1050,20.101
1080.5,0.45
1111.5,-4.229
1141,-7.756
1170.5,-1.419
1201,0.898
1231.5,4.983
1262,10.334
1292.5,2.793
1323.5,-6.229
1354,-6.561
1384.5,3.706
1415,-4.13
1445.5,-17.217
1476.5,-34.277
1506,-13.731
1535.5,-1.578
1566,-26.613
1596.5,-6.605
1627,-11.124
1657.5,4.91
1688.5,1.131
1719,17.234
1749.5,25.74
1780,6.308
1810.5,-14.319
1841.5,-9.396
1871,7.925
1900.5,-1.943
1931,-9.802
1961.5,-7.065
1992,6.554
2022.5,16.47
2053.5,11.538
2084,21.294
2114.5,25.394
2145,9.16
2175.5,-2.553
2206.5,-9.106
2236.5,-16.489
2266.5,-13.32
2297,-7.029
2327.5,4.21
2358,17.944
2388.5,1.177
2419.5,-11.868
2450,-9.803
2480.5,-12.938
2511,-5.415
2541.5,-21.194
2572.5,-21.181
2602,-21.297
2631.5,-17.276
2662,-18.976
2692.5,-17.969
2723,7.947
2753.5,10.036
2784.5,-13.603
2815,-16.873
2845.5,7.15
2876,-3.496
2906.5,-11.018
2937.5,-19.645
2967,-20.306
2996.5,-9.894
3027,-12.506
3057.5,-12.331
3088,9.051
3118.5,-9.999
3149.5,-9.497
3180,-4.17
3210.5,-5.613
3241,-6.482
3269.5,-15.792
3335.5,-40.05
3361.5,-30.03
3392,-43.352
3422.5,-26.427
3485.5,-30.512
3514.5,-42.976
3545,-60.364
3575.5,-53.668
3591.5,-47.888
3652,-77.099
3667.5,-75.227
3697.5,-75.542
3727.5,-70.968
3746.5,-65.65
3819,-55.581
3849.5,-84.523
3880.5,-94.278
3908,-81.773
3974.5,-74.117
4002.5,-82.307
4033.5,-92.037
4062,-89.915
4128,-73.88
4153.5,-96.591
4184,-91.109
4214.5,-94.497
4306.5,-75.419
4337,-91.436
4367.5,-102.434
4391.5,-75.656
4457.5,-101.935
4488,-105.87
4518.5,-102.221
4546,-85.319
4610.5,-98.044
4641,-109.532
4671.5,-117.478
4703,-98.047
4769.5,-91.161
4793,-97.384
4822.5,-118.158
4853,-114.646
4864,-117.48
4943.5,-101.005
4975.5,-121.285
5004.5,-104.106
5104.5,-117.486
5128.5,-102.943
5157,-129.011
5188.5,-130.673
5253,-104.037
5280,-101.899
5309.5,-100.242
5346.5,-106.581
5444.5,-68.717
5471.5,-108.46
5499,-122.051
5568.5,-125.275
5592.5,-107.517
5610.5,-101.453
5640,-83.293
