mscn_sol,JPL
mscn,167
lat,
lon,
mscn_area,119890.7402
CRI Filter,land
land_area,90840.2539
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,cmwe
106.5,117.504
129.5,125.776
227.5,92.238
258,92.714
288.5,103.424
319,106.089
349.5,115.874
380.5,123.039
410,120.342
439.5,139.151
470,157.689
495.5,151.425
561.5,139.009
592.5,122.345
623,116.636
653,114.316
684,115.371
714.5,116.424
736.5,111.909
777,118.514
805.5,134.405
836,136.706
866.5,139.964
897,129.456
927.5,115.733
958.5,100.173
989,95.572
1019.5,99.304
1050,96.004
1080.5,91.21
1111.5,92.291
1141,92.098
1170.5,93.356
1201,90.656
1231.5,95.334
1262,82.827
1292.5,67.457
1323.5,42.191
1354,27.796
1384.5,24.334
1415,21.305
1445.5,21.414
1476.5,22.176
1506,31.19
1535.5,36.292
1566,26.641
1596.5,22.932
1627,18.627
1657.5,10.78
1688.5,-9.581
1719,-18.437
1749.5,-14.164
1780,-20.904
1810.5,-27.021
1841.5,-22.685
1871,-12.81
1900.5,-21.464
1931,-19.99
1961.5,-15.796
1992,-21.891
2022.5,-47.65
2053.5,-72.826
2084,-84.31
2114.5,-76.319
2145,-73.431
2175.5,-70.691
2206.5,-61.553
2236.5,-55.761
2266.5,-43.048
2297,-50.193
2327.5,-51.166
2358,-50.845
2388.5,-67.264
2419.5,-83.518
2450,-80.551
2480.5,-73.201
2511,-72.715
2541.5,-67.966
2572.5,-63.453
2602,-58.835
2631.5,-64.739
2662,-65.824
2692.5,-53.267
2723,-58.415
2753.5,-66.921
2784.5,-89.601
2815,-95.56
2845.5,-97.481
2876,-91.527
2906.5,-95.273
2937.5,-90.018
2967,-86.94
2996.5,-86.049
3027,-92.442
3057.5,-94.781
3088,-104.385
3118.5,-119.819
3149.5,-147.006
3180,-153.161
3210.5,-147.435
3241,-151.383
3269.5,-156.325
3335.5,-148.677
3361.5,-152.359
3392,-146.767
3422.5,-140.377
3485.5,-167.949
3514.5,-189.249
3545,-199.19
3575.5,-193.607
3591.5,-191.688
3652,-192.279
3667.5,-192.464
3697.5,-183.628
3727.5,-175.534
3746.5,-177.387
3819,-188.822
3849.5,-218.684
3880.5,-251.541
3908,-262.095
3974.5,-263.546
4002.5,-264.606
4033.5,-258.99
4062,-255.302
4128,-252.5
4153.5,-252.297
4184,-255.147
4214.5,-271.522
4306.5,-292.123
4337,-296.699
4367.5,-295.304
4391.5,-285.646
4457.5,-291.597
4488,-280.011
4518.5,-279.546
4546,-279.88
4610.5,-323.196
4641,-324.697
4671.5,-325.198
4703,-314.155
4769.5,-293.064
4793,-293.55
4822.5,-275.71
4853,-281.155
4864,-275.482
4943.5,-299.855
4975.5,-315.186
5004.5,-309.882
5104.5,-297.447
5128.5,-290.619
5157,-289.285
5188.5,-291.698
5253,-286.7
5280,-293.819
5309.5,-313.563
5346.5,-334.829
5444.5,-309.775
5471.5,-307.354
5499,-298.654
5568.5,-287.531
5592.5,-282.763
5610.5,-281.442
5640,-290.921
