mscn_sol,JPL
mscn,58
lat,
lon,
mscn_area,115926.8779
CRI Filter,land
land_area,115926.8779
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,cmwe
106.5,-3.647
129.5,-5.183
227.5,-11.843
258,-12.02
288.5,-12.875
319,-12.955
349.5,-13.522
380.5,-11.981
410,-12.968
439.5,-11.813
470,-12.465
495.5,-12.527
561.5,-14.89
592.5,-15.218
623,-13.393
653,-14.137
684,-14.591
714.5,-12.916
736.5,-13.561
777,-12.805
805.5,-13.341
836,-13.413
866.5,-13.918
897,-12.916
927.5,-13.183
958.5,-14.131
989,-14.913
1019.5,-14.134
1050,-13.853
1080.5,-11.941
1111.5,-12.451
1141,-11.92
1170.5,-10.27
1201,-10.414
1231.5,-8.818
1262,-7.745
1292.5,-10.255
1323.5,-11.026
1354,-11.541
1384.5,-9.663
1415,-8.998
1445.5,-7.005
1476.5,-7.2
1506,-5.612
1535.5,-4.23
1566,-2.977
1596.5,-2.155
1627,-0.653
1657.5,-1.062
1688.5,-1.016
1719,-0.281
1749.5,1.042
1780,2.429
1810.5,2.598
1841.5,2.294
1871,4.606
1900.5,5.186
1931,5.171
1961.5,5.278
1992,6.155
2022.5,5.632
2053.5,5.54
2084,5.574
2114.5,4.42
2145,4.548
2175.5,6.672
2206.5,7.252
2236.5,8.771
2266.5,10.296
2297,10.373
2327.5,10.895
2358,10.821
2388.5,9.659
2419.5,7.923
2450,7.934
2480.5,8.181
2511,8.54
2541.5,10.103
2572.5,11.681
2602,10.29
2631.5,10.292
2662,11.331
2692.5,11.173
2723,12.648
2753.5,11.203
2784.5,8.789
2815,9.603
2845.5,10.961
2876,10.695
2906.5,10.844
2937.5,12.729
2967,12.19
2996.5,13.819
3027,12.977
3057.5,14.788
3088,14.085
3118.5,11.568
3149.5,11.408
3180,12.054
3210.5,13.592
3241,13.637
3269.5,15.389
3335.5,17.937
3361.5,18.836
3392,19.692
3422.5,20.227
3485.5,21.034
3514.5,21.707
3545,22.952
3575.5,22.323
3591.5,23.383
3652,25.928
3667.5,26.127
3697.5,27.251
3727.5,29.949
3746.5,29.97
3819,31.961
3849.5,31.377
3880.5,30.111
3908,30.447
3974.5,31.968
4002.5,31.699
4033.5,32.81
4062,32.347
4128,34.008
4153.5,34.476
4184,34.891
4214.5,32.258
4306.5,37.644
4337,37.811
4367.5,37.953
4391.5,38.03
4457.5,39.965
4488,40.143
4518.5,39.897
4546,38.803
4610.5,39.507
4641,39.942
4671.5,40.092
4703,41.814
4769.5,42.012
4793,44.345
4822.5,45.782
4853,44.743
4864,44.842
4943.5,44.73
4975.5,44.334
5004.5,43.519
5104.5,45.5
5128.5,46.042
5157,46.611
5188.5,46.418
5253,47.646
5280,48.563
5309.5,46.579
5346.5,44.949
5444.5,50.118
5471.5,50.573
5499,51.106
5568.5,50.938
5592.5,49.488
5610.5,47.952
5640,48.693
