mscn_sol,JPL
mscn,124
lat,
lon,
mscn_area,109123.9153
CRI Filter,land
land_area,109123.9153
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,cmwe
106.5,3.337
129.5,2.635
227.5,-5.624
258,-6.218
288.5,-6.479
319,-6.815
349.5,-7.107
380.5,-6.447
410,-7.61
439.5,-6.159
470,-6.598
495.5,-6.201
561.5,-9.475
592.5,-8.996
623,-7.141
653,-7.322
684,-6.228
714.5,-4.321
736.5,-4.892
777,-4.43
805.5,-4.334
836,-2.362
866.5,-3.276
897,-3.185
927.5,-3.845
958.5,-4.466
989,-5.091
1019.5,-4.198
1050,-2.488
1080.5,-0.258
1111.5,-0.476
1141,0.457
1170.5,2.846
1201,2.704
1231.5,3.311
1262,3.174
1292.5,1.139
1323.5,-0.826
1354,-2.14
1384.5,-0.649
1415,-0.736
1445.5,0.847
1476.5,0.099
1506,1.546
1535.5,2.03
1566,2.345
1596.5,1.099
1627,2.029
1657.5,0.464
1688.5,-0.72
1719,-1.06
1749.5,-0.581
1780,-0.026
1810.5,0.644
1841.5,0.053
1871,2.328
1900.5,1.737
1931,1.072
1961.5,1.518
1992,1.955
2022.5,-0.236
2053.5,-2.206
2084,-2.283
2114.5,-3.343
2145,-2.854
2175.5,-1.399
2206.5,-1.311
2236.5,-0.554
2266.5,1.513
2297,1.658
2327.5,1.252
2358,1.09
2388.5,0.619
2419.5,-0.843
2450,-0.403
2480.5,0.088
2511,1.473
2541.5,3.227
2572.5,5.031
2602,3.414
2631.5,3.714
2662,3.459
2692.5,3.031
2723,3.798
2753.5,2.534
2784.5,-1.057
2815,-1.835
2845.5,0.001
2876,-0.351
2906.5,-0.585
2937.5,1.168
2967,0.65
2996.5,1.682
3027,0.602
3057.5,2.436
3088,0.644
3118.5,-2.492
3149.5,-4.011
3180,-3.663
3210.5,-2.297
3241,-2.194
3269.5,-0.115
3335.5,1.094
3361.5,0.955
3392,1.838
3422.5,0.394
3485.5,-2.448
3514.5,-4.664
3545,-4.655
3575.5,-5.177
3591.5,-4.398
3652,-3.875
3667.5,-4.274
3697.5,-3.471
3727.5,-2.449
3746.5,-1.398
3819,-1.424
3849.5,-3.495
3880.5,-6.698
3908,-7.233
3974.5,-5.444
4002.5,-4.801
4033.5,-4.598
4062,-6.146
4128,-4.656
4153.5,-4.117
4184,-4.281
4214.5,-8.297
4306.5,-6.402
4337,-6.126
4367.5,-4.765
4391.5,-5.18
4457.5,-5.611
4488,-5.627
4518.5,-5.404
4546,-5.936
4610.5,-9.135
4641,-8.518
4671.5,-8.571
4703,-7.701
4769.5,-8.88
4793,-6.853
4822.5,-7.257
4853,-9.595
4864,-9.444
4943.5,-13.493
4975.5,-14.747
5004.5,-14.879
5104.5,-13.629
5128.5,-13.466
5157,-14.407
5188.5,-14.868
5253,-13.194
5280,-12.86
5309.5,-16.25
5346.5,-19.79
5444.5,-15.269
5471.5,-13.808
5499,-13.086
5568.5,-12.691
5592.5,-13.024
5610.5,-12.411
5640,-8.865
