mscn_sol,JPL
mscn,56
lat,
lon,
mscn_area,115926.8779
CRI Filter,land
land_area,75895.6607
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,cmwe
106.5,61.456
129.5,64.727
227.5,61.665
258,57.191
288.5,61.274
319,67.631
349.5,65.063
380.5,64.809
410,66.348
439.5,63.376
470,61.262
495.5,64.005
561.5,47.633
592.5,49.427
623,51.919
653,53.192
684,50.299
714.5,49.151
736.5,50.772
777,47.632
805.5,44.411
836,45.416
866.5,41.055
897,39.836
927.5,40.839
958.5,42.929
989,46.703
1019.5,47.037
1050,54.928
1080.5,60.176
1111.5,58.177
1141,58.986
1170.5,61.869
1201,59.519
1231.5,59.16
1262,58.778
1292.5,52.519
1323.5,41.112
1354,38.564
1384.5,38.783
1415,39.058
1445.5,46.259
1476.5,41.345
1506,39.015
1535.5,34.253
1566,33.812
1596.5,29.06
1627,32.525
1657.5,26.336
1688.5,20.156
1719,15.466
1749.5,16.825
1780,20.877
1810.5,22.236
1841.5,18.437
1871,11.223
1900.5,10.557
1931,12.09
1961.5,6.972
1992,4.377
2022.5,-2.287
2053.5,-15.567
2084,-22.074
2114.5,-22.823
2145,-23.536
2175.5,-22.573
2206.5,-23.678
2236.5,-23.042
2266.5,-25.67
2297,-31.664
2327.5,-37.743
2358,-39.498
2388.5,-48.06
2419.5,-53.821
2450,-58.878
2480.5,-63.977
2511,-62.834
2541.5,-57.529
2572.5,-55.586
2602,-64.685
2631.5,-67.838
2662,-67.965
2692.5,-70.316
2723,-70.173
2753.5,-76.858
2784.5,-91.299
2815,-93.361
2845.5,-95.847
2876,-92.225
2906.5,-88.678
2937.5,-88.8
2967,-90.267
2996.5,-91.563
3027,-91.098
3057.5,-89.269
3088,-92.089
3118.5,-105.079
3149.5,-110.869
3180,-115.585
3210.5,-112.53
3241,-110.705
3269.5,-108.578
3335.5,-110.707
3361.5,-107.927
3392,-108.793
3422.5,-114.862
3485.5,-136.202
3514.5,-148.381
3545,-148.467
3575.5,-147.969
3591.5,-148.056
3652,-147.966
3667.5,-151.998
3697.5,-152.907
3727.5,-151.218
3746.5,-154.875
3819,-163.348
3849.5,-170.857
3880.5,-181.812
3908,-184.757
3974.5,-184.957
4002.5,-183.834
4033.5,-185.391
4062,-189.422
4128,-196.541
4153.5,-192.806
4184,-188.636
4214.5,-189.969
4306.5,-192.074
4337,-188.83
4367.5,-190.465
4391.5,-193.727
4457.5,-197.303
4488,-200.209
4518.5,-202.237
4546,-204.6
4610.5,-214.137
4641,-213.342
4671.5,-213.278
4703,-214.489
4769.5,-221.212
4793,-218.465
4822.5,-225.241
4853,-223.354
4864,-227.973
4943.5,-249.562
4975.5,-258.38
5004.5,-259.753
5104.5,-258.016
5128.5,-254.852
5157,-259.186
5188.5,-262.841
5253,-268.288
5280,-264.416
5309.5,-268.545
5346.5,-279.322
5444.5,-268.998
5471.5,-267.313
5499,-258.557
5568.5,-267.989
5592.5,-273.388
5610.5,-281.231
5640,-279.493
