mscn_sol,JPL
mscn,90
lat,
lon,
mscn_area,110638.9489
CRI Filter,land
land_area,28758.0072
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,Gt
106.5,18.273
129.5,19.155
227.5,13.761
258,18.236
288.5,19.923
319,17.699
349.5,16.267
380.5,19.472
410,16.951
439.5,17.077
470,15.151
495.5,15.993
561.5,14.596
592.5,11.039
623,9.038
653,7.213
684,5.539
714.5,8.111
736.5,3.547
777,1.476
805.5,-0.068
836,-1.962
866.5,3.795
897,7.433
927.5,3.2
958.5,-1.978
989,-3.018
1019.5,-1.775
1050,-3.923
1080.5,-4.991
1111.5,-8.433
1141,-7.498
1170.5,-5.177
1201,-4.94
1231.5,-0.734
1262,-0.973
1292.5,-5.372
1323.5,-7.147
1354,-7.736
1384.5,-7.023
1415,-7.302
1445.5,-4.731
1476.5,-8.003
1506,-2.214
1535.5,-0.689
1566,1.094
1596.5,3.15
1627,3.4
1657.5,3.656
1688.5,1.701
1719,4.745
1749.5,5.251
1780,1.012
1810.5,0.035
1841.5,1.517
1871,5.525
1900.5,2.964
1931,2.005
1961.5,3.612
1992,7.822
2022.5,7.054
2053.5,2.73
2084,-0.122
2114.5,-1.391
2145,-1.431
2175.5,-0.502
2206.5,-0.047
2236.5,1.98
2266.5,4.691
2297,2.312
2327.5,5.763
2358,7.309
2388.5,0.472
2419.5,-3.569
2450,-3.895
2480.5,-1.827
2511,-1.347
2541.5,0.225
2572.5,-1.508
2602,-3.23
2631.5,-1.222
2662,0.754
2692.5,-0.407
2723,2.343
2753.5,1.506
2784.5,0.355
2815,3.537
2845.5,4.68
2876,3.362
2906.5,0.17
2937.5,2.082
2967,2.621
2996.5,6.62
3027,4.163
3057.5,2.495
3088,4.049
3118.5,2.921
3149.5,0.089
3180,0.16
3210.5,-1.685
3241,-3.053
3269.5,-2.598
3335.5,-4.322
3361.5,-6.548
3392,-5.868
3422.5,-5.635
3485.5,-1.282
3514.5,-7.09
3545,-6.202
3575.5,-4.951
3591.5,-4.798
3652,-1.826
3667.5,-2.42
3697.5,-2.847
3727.5,-0.174
3746.5,0.671
3819,6.388
3849.5,0.862
3880.5,-5.261
3908,-6.738
3974.5,-3.75
4002.5,-1.951
4033.5,-9.347
4062,-8.15
4128,-2.652
4153.5,-3.989
4184,-5.552
4214.5,-7.987
4306.5,6.399
4337,3.719
4367.5,1.792
4391.5,4.881
4457.5,10.096
4488,8.73
4518.5,4.863
4546,5.865
4610.5,3.28
4641,0.542
4671.5,1.528
4703,0.817
4769.5,13.015
4793,11.563
4822.5,12.727
4853,8.948
4864,9.101
4943.5,6.405
4975.5,1.652
5004.5,2.979
5104.5,5.163
5128.5,7.218
5157,9.291
5188.5,7.853
5253,9.242
5280,7.493
5309.5,2.072
5346.5,-1.032
5444.5,3.382
5471.5,3.858
5499,7.404
5568.5,3.112
5592.5,1.01
5610.5,-1.141
5640,0.4
