mscn_sol,JPL
mscn,88
lat,
lon,
mscn_area,110638.9489
CRI Filter,land
land_area,110638.9489
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,cmwe
106.5,-6.468
129.5,-6.581
227.5,-13.345
258,-13.841
288.5,-13.465
319,-13.037
349.5,-14.101
380.5,-13.181
410,-13.78
439.5,-12.032
470,-12.109
495.5,-11.728
561.5,-13.037
592.5,-11.832
623,-8.95
653,-9.239
684,-8.75
714.5,-6.497
736.5,-7.858
777,-6.364
805.5,-6.918
836,-6.047
866.5,-7.508
897,-7.07
927.5,-6.894
958.5,-8.197
989,-9.025
1019.5,-8.315
1050,-7.076
1080.5,-4.94
1111.5,-5.139
1141,-4.651
1170.5,-2.726
1201,-3.109
1231.5,-1.782
1262,-1.452
1292.5,-3.362
1323.5,-5.011
1354,-5.838
1384.5,-3.704
1415,-3.496
1445.5,-1.696
1476.5,-2.371
1506,-1.024
1535.5,-0.347
1566,0.224
1596.5,-0.68
1627,0.603
1657.5,-1.288
1688.5,-1.73
1719,-1.593
1749.5,-1.004
1780,-0.134
1810.5,-0.051
1841.5,-0.818
1871,1.559
1900.5,1.953
1931,1.166
1961.5,0.614
1992,1.436
2022.5,0.187
2053.5,-0.733
2084,-0.806
2114.5,-2.07
2145,-1.848
2175.5,0.093
2206.5,0.734
2236.5,2.363
2266.5,4.938
2297,4.396
2327.5,4.466
2358,5.028
2388.5,5.042
2419.5,4.284
2450,3.888
2480.5,4.731
2511,5.84
2541.5,8.237
2572.5,10.173
2602,7.815
2631.5,8.204
2662,8.282
2692.5,7.579
2723,8.891
2753.5,7.181
2784.5,3.905
2815,4.533
2845.5,5.808
2876,5.451
2906.5,5.072
2937.5,7.476
2967,6.898
2996.5,8.411
3027,7.635
3057.5,9.439
3088,8.763
3118.5,6.452
3149.5,5.772
3180,7.141
3210.5,9.564
3241,9.558
3269.5,12.365
3335.5,14.555
3361.5,15.496
3392,16.338
3422.5,14.629
3485.5,13.75
3514.5,13.217
3545,13.817
3575.5,13.055
3591.5,14.39
3652,16.21
3667.5,16.406
3697.5,17.36
3727.5,19.238
3746.5,19.443
3819,20.784
3849.5,20.021
3880.5,17.441
3908,18.142
3974.5,20.441
4002.5,20.499
4033.5,21.14
4062,20.049
4128,22.22
4153.5,22.727
4184,22.96
4214.5,19.389
4306.5,25.66
4337,27.07
4367.5,27.635
4391.5,27.621
4457.5,29.168
4488,29.207
4518.5,28.654
4546,27.921
4610.5,27.708
4641,28.863
4671.5,28.74
4703,30.24
4769.5,31.932
4793,34.518
4822.5,34.918
4853,33.102
4864,33.106
4943.5,31.039
4975.5,30.649
5004.5,30.823
5104.5,34.096
5128.5,35.506
5157,35.106
5188.5,36.006
5253,37.869
5280,39.529
5309.5,37.028
5346.5,34.993
5444.5,40.341
5471.5,40.757
5499,41.689
5568.5,39.76
5592.5,38.654
5610.5,37.592
5640,39.94
