mscn_sol,JPL
mscn,166
lat,
lon,
mscn_area,113230.1435
CRI Filter,land
land_area,113230.1435
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,cmwe
106.5,-1.557
129.5,-2.87
227.5,-13.057
258,-11.836
288.5,-11.088
319,-7.368
349.5,-6.181
380.5,-3.387
410,-2.993
439.5,0.751
470,3.257
495.5,3.931
561.5,-2.081
592.5,-4.382
623,-4.81
653,-4.17
684,-3.203
714.5,-1.735
736.5,-0.177
777,-0.002
805.5,1.632
836,5.613
866.5,4.567
897,3.06
927.5,1.759
958.5,-0.909
989,-2.059
1019.5,-1.14
1050,1.538
1080.5,3.366
1111.5,3.318
1141,4.837
1170.5,7.151
1201,7.499
1231.5,8.973
1262,6.404
1292.5,3.103
1323.5,-2.878
1354,-4.916
1384.5,-4.827
1415,-5.341
1445.5,-3.032
1476.5,-3.34
1506,-1.165
1535.5,-0.99
1566,0.484
1596.5,-3.37
1627,-1.566
1657.5,-3.599
1688.5,-7.867
1719,-9.075
1749.5,-8.795
1780,-8.173
1810.5,-6.644
1841.5,-5.227
1871,-4.006
1900.5,-3.656
1931,-2.892
1961.5,-2.315
1992,-3.46
2022.5,-7.546
2053.5,-11.46
2084,-11.174
2114.5,-11.619
2145,-9.497
2175.5,-6.106
2206.5,-2.705
2236.5,-1.624
2266.5,1.478
2297,1.095
2327.5,1.486
2358,0.957
2388.5,-0.413
2419.5,-2.214
2450,-1.847
2480.5,0.298
2511,4.136
2541.5,8.929
2572.5,11.593
2602,9.843
2631.5,10.016
2662,9.769
2692.5,11.547
2723,10.768
2753.5,8.703
2784.5,1.845
2815,1.241
2845.5,3.144
2876,4.083
2906.5,3.392
2937.5,5.923
2967,6.752
2996.5,8.138
3027,6.883
3057.5,8.926
3088,4.88
3118.5,-0.362
3149.5,-5.069
3180,-5.818
3210.5,-3.271
3241,-3.593
3269.5,0.625
3335.5,4.365
3361.5,5.938
3392,7.288
3422.5,7.145
3485.5,3.139
3514.5,-0.931
3545,-2.43
3575.5,-0.729
3591.5,1.162
3652,5.631
3667.5,7.252
3697.5,7.495
3727.5,11.239
3746.5,12.85
3819,12.785
3849.5,9.437
3880.5,-1.175
3908,-1.243
3974.5,0.569
4002.5,2.842
4033.5,3.415
4062,2.802
4128,5.463
4153.5,7.874
4184,7.676
4214.5,0.704
4306.5,0.601
4337,2.017
4367.5,5.104
4391.5,4.189
4457.5,7.173
4488,6.855
4518.5,7.393
4546,6.47
4610.5,1.001
4641,0.866
4671.5,2.688
4703,4.141
4769.5,9.105
4793,12.963
4822.5,10.863
4853,12.409
4864,11.776
4943.5,8.519
4975.5,5.783
5004.5,5.543
5104.5,7.056
5128.5,6.539
5157,2.911
5188.5,3.272
5253,2.477
5280,2.227
5309.5,-3.493
5346.5,-12.231
5444.5,-5.681
5471.5,-6.676
5499,-5.443
5568.5,-2.416
5592.5,-2.929
5610.5,-2.827
5640,-2.692
