mscn_sol,JPL
mscn,59
lat,
lon,
mscn_area,115926.8779
CRI Filter,land
land_area,75259.8798
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,cmwe
106.5,61.988
129.5,64.536
227.5,49.611
258,52.303
288.5,53.211
319,51.032
349.5,49.437
380.5,53.91
410,53.954
439.5,54.431
470,50.642
495.5,49.15
561.5,41.754
592.5,34.38
623,34.584
653,31.247
684,28.049
714.5,30.003
736.5,26.176
777,24.99
805.5,20.494
836,18.253
866.5,19.625
897,21.418
927.5,17.697
958.5,9.269
989,6.729
1019.5,5.873
1050,5.984
1080.5,8.322
1111.5,6.16
1141,5.785
1170.5,6.333
1201,6.19
1231.5,11.747
1262,9.587
1292.5,-1.163
1323.5,-5.78
1354,-4.798
1384.5,-2.47
1415,-1.629
1445.5,3.124
1476.5,1.227
1506,5.495
1535.5,6.758
1566,10.775
1596.5,13.867
1627,14.576
1657.5,13.038
1688.5,11.075
1719,11.97
1749.5,13.634
1780,13.344
1810.5,13.185
1841.5,14.504
1871,14.492
1900.5,14.156
1931,15.727
1961.5,12.879
1992,12.341
2022.5,10.633
2053.5,7.252
2084,2.11
2114.5,-0.759
2145,-0.28
2175.5,3.058
2206.5,3.251
2236.5,3.548
2266.5,3.766
2297,-0.465
2327.5,1.121
2358,1.454
2388.5,-10.612
2419.5,-21.312
2450,-25.805
2480.5,-23.834
2511,-21.379
2541.5,-19.954
2572.5,-22.418
2602,-26.525
2631.5,-26.833
2662,-23.925
2692.5,-26.251
2723,-26.075
2753.5,-30.166
2784.5,-34.939
2815,-33.073
2845.5,-30.965
2876,-30.343
2906.5,-31.242
2937.5,-30.543
2967,-30.16
2996.5,-28.45
3027,-30.699
3057.5,-32.295
3088,-34.564
3118.5,-42.101
3149.5,-47.158
3180,-50.468
3210.5,-50.345
3241,-54.185
3269.5,-54.739
3335.5,-54.291
3361.5,-57.202
3392,-60.537
3422.5,-61.737
3485.5,-64.288
3514.5,-71.004
3545,-71.805
3575.5,-75.672
3591.5,-75.759
3652,-72.472
3667.5,-73.628
3697.5,-75.149
3727.5,-72.185
3746.5,-75.086
3819,-74.037
3849.5,-81.197
3880.5,-92.971
3908,-93.549
3974.5,-90.493
4002.5,-94.229
4033.5,-100.072
4062,-100.023
4128,-99.899
4153.5,-99.806
4184,-103.833
4214.5,-112.207
4306.5,-99.699
4337,-103.037
4367.5,-106.442
4391.5,-103.206
4457.5,-99.982
4488,-101.677
4518.5,-105.539
4546,-109.592
4610.5,-111.714
4641,-111.947
4671.5,-112.211
4703,-108.937
4769.5,-96.23
4793,-95.864
4822.5,-91.882
4853,-92.849
4864,-92.709
4943.5,-100.725
4975.5,-108.782
5004.5,-112.597
5104.5,-107.052
5128.5,-108.744
5157,-107.099
5188.5,-112.482
5253,-113.502
5280,-114.88
5309.5,-124.197
5346.5,-133.687
5444.5,-128.712
5471.5,-132.042
5499,-127.505
5568.5,-129.774
5592.5,-138.518
5610.5,-146.243
5640,-148.835
