mscn_sol,JPL
mscn,90
lat,
lon,
mscn_area,110638.9489
CRI Filter,land
land_area,28758.0072
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,cmwe
106.5,63.541
129.5,66.607
227.5,47.852
258,63.411
288.5,69.278
319,61.546
349.5,56.566
380.5,67.71
410,58.943
439.5,59.382
470,52.683
495.5,55.613
561.5,50.755
592.5,38.386
623,31.427
653,25.081
684,19.261
714.5,28.206
736.5,12.333
777,5.131
805.5,-0.236
836,-6.823
866.5,13.196
897,25.846
927.5,11.129
958.5,-6.879
989,-10.493
1019.5,-6.171
1050,-13.641
1080.5,-17.356
1111.5,-29.322
1141,-26.073
1170.5,-18.002
1201,-17.179
1231.5,-2.551
1262,-3.385
1292.5,-18.679
1323.5,-24.851
1354,-26.901
1384.5,-24.42
1415,-25.392
1445.5,-16.45
1476.5,-27.828
1506,-7.699
1535.5,-2.397
1566,3.805
1596.5,10.953
1627,11.822
1657.5,12.714
1688.5,5.916
1719,16.499
1749.5,18.258
1780,3.518
1810.5,0.121
1841.5,5.275
1871,19.211
1900.5,10.307
1931,6.974
1961.5,12.561
1992,27.201
2022.5,24.528
2053.5,9.492
2084,-0.426
2114.5,-4.837
2145,-4.974
2175.5,-1.744
2206.5,-0.162
2236.5,6.885
2266.5,16.312
2297,8.039
2327.5,20.041
2358,25.415
2388.5,1.642
2419.5,-12.411
2450,-13.545
2480.5,-6.352
2511,-4.685
2541.5,0.783
2572.5,-5.245
2602,-11.23
2631.5,-4.249
2662,2.621
2692.5,-1.415
2723,8.148
2753.5,5.237
2784.5,1.236
2815,12.301
2845.5,16.275
2876,11.69
2906.5,0.593
2937.5,7.239
2967,9.114
2996.5,23.019
3027,14.477
3057.5,8.675
3088,14.078
3118.5,10.157
3149.5,0.309
3180,0.555
3210.5,-5.86
3241,-10.617
3269.5,-9.033
3335.5,-15.028
3361.5,-22.77
3392,-20.405
3422.5,-19.595
3485.5,-4.46
3514.5,-24.653
3545,-21.566
3575.5,-17.218
3591.5,-16.685
3652,-6.349
3667.5,-8.415
3697.5,-9.9
3727.5,-0.605
3746.5,2.334
3819,22.212
3849.5,2.997
3880.5,-18.294
3908,-23.43
3974.5,-13.04
4002.5,-6.783
4033.5,-32.504
4062,-28.341
4128,-9.221
4153.5,-13.872
4184,-19.307
4214.5,-27.774
4306.5,22.252
4337,12.934
4367.5,6.23
4391.5,16.971
4457.5,35.108
4488,30.357
4518.5,16.911
4546,20.394
4610.5,11.406
4641,1.886
4671.5,5.313
4703,2.84
4769.5,45.257
4793,40.207
4822.5,44.256
4853,31.113
4864,31.645
4943.5,22.272
4975.5,5.746
5004.5,10.357
5104.5,17.953
5128.5,25.099
5157,32.307
5188.5,27.308
5253,32.139
5280,26.054
5309.5,7.206
5346.5,-3.59
5444.5,11.761
5471.5,13.417
5499,25.745
5568.5,10.82
5592.5,3.511
5610.5,-3.967
5640,1.392
