mscn_sol,JPL
mscn,214
lat,
lon,
mscn_area,113393.5974
CRI Filter,land
land_area,24407.8781
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,cmwe
106.5,260.908
129.5,259.482
227.5,201.908
258,196.174
288.5,207.05
319,177.395
349.5,205.324
380.5,231.912
410,243.483
439.5,276.678
470,285.951
495.5,274.452
561.5,291.741
592.5,256.197
623,224.926
653,212.169
684,209.378
714.5,224.213
736.5,229.359
777,210.354
805.5,225.852
836,223.604
866.5,233.413
897,237.464
927.5,191.345
958.5,159.556
989,143.916
1019.5,176.37
1050,157.077
1080.5,129.326
1111.5,118.847
1141,112.647
1170.5,124.928
1201,158.529
1231.5,147.986
1262,125.368
1292.5,96.901
1323.5,72.678
1354,73.277
1384.5,87.786
1415,56.809
1445.5,35.314
1476.5,26.096
1506,67.404
1535.5,96.063
1566,40.794
1596.5,20.96
1627,1.337
1657.5,4.966
1688.5,8.295
1719,-25.763
1749.5,-26.769
1780,-58.775
1810.5,-79.699
1841.5,-45.291
1871,-7.09
1900.5,-36.914
1931,-43.712
1961.5,-27.531
1992,-28.908
2022.5,-59.257
2053.5,-94.448
2084,-123.957
2114.5,-103.97
2145,-104.571
2175.5,-80.973
2206.5,-69.718
2236.5,-85.735
2266.5,-82.356
2297,-60.588
2327.5,-52.633
2358,-50.695
2388.5,-101.214
2419.5,-130.431
2450,-161.419
2480.5,-116.588
2511,-120.117
2541.5,-143.946
2572.5,-130.646
2602,-124.276
2631.5,-113.018
2662,-89.691
2692.5,-95.272
2723,-116.011
2753.5,-138.367
2784.5,-171.333
2815,-172.95
2845.5,-174.758
2876,-177.516
2906.5,-167.712
2937.5,-169.331
2967,-140.445
2996.5,-135.881
3027,-167.728
3057.5,-185.53
3088,-192.088
3118.5,-204.741
3149.5,-227.549
3180,-257.529
3210.5,-263.389
3241,-277.493
3269.5,-267.015
3335.5,-306.799
3361.5,-305.451
3392,-336.985
3422.5,-284.75
3485.5,-317.266
3514.5,-332.374
3545,-369.147
3575.5,-360.183
3591.5,-342.81
3652,-349.103
3667.5,-356.892
3697.5,-338.748
3727.5,-316.122
3746.5,-306.489
3819,-306.513
3849.5,-358.719
3880.5,-397.681
3908,-390.391
3974.5,-399.262
4002.5,-406.607
4033.5,-408.882
4062,-365.875
4128,-356.274
4153.5,-351.284
4184,-388.398
4214.5,-396.306
4306.5,-427.356
4337,-467.152
4367.5,-480.923
4391.5,-457.716
4457.5,-424.389
4488,-422.312
4518.5,-432.546
4546,-421.465
4610.5,-473.931
4641,-507.478
4671.5,-518.796
4703,-500.906
4769.5,-486.167
4793,-504.676
4822.5,-502.857
4853,-474.823
4864,-447.085
4943.5,-465.988
4975.5,-543.205
5004.5,-542.416
5104.5,-552.724
5128.5,-544.419
5157,-553.566
5188.5,-523.952
5253,-499.779
5280,-535.678
5309.5,-559.401
5346.5,-578.733
5444.5,-571.361
5471.5,-604.935
5499,-574.93
5568.5,-552.761
5592.5,-540.488
5610.5,-528.297
5640,-564.164
