mscn_sol,JPL
mscn,123
lat,
lon,
mscn_area,114867.2792
CRI Filter,land
land_area,69299.7201
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,Gt
106.5,64.968
129.5,67.82
227.5,57.434
258,55.559
288.5,57.372
319,55.394
349.5,55.465
380.5,53.596
410,51.632
439.5,51.16
470,50.193
495.5,50.684
561.5,40.794
592.5,41.722
623,43.079
653,43.661
684,43.218
714.5,43.844
736.5,43.414
777,42.97
805.5,42.759
836,44.84
866.5,40.797
897,40.137
927.5,38.858
958.5,37.948
989,35.762
1019.5,32.571
1050,36.072
1080.5,39.434
1111.5,38.8
1141,37.118
1170.5,38.662
1201,36.975
1231.5,36.313
1262,34.69
1292.5,30.534
1323.5,24.958
1354,20.77
1384.5,20.577
1415,21.361
1445.5,22.426
1476.5,19.082
1506,19.773
1535.5,18.077
1566,15.814
1596.5,15.637
1627,14.679
1657.5,10.97
1688.5,7.39
1719,4.676
1749.5,5.885
1780,3.31
1810.5,4.261
1841.5,2.57
1871,2.931
1900.5,0.618
1931,-1.066
1961.5,-1.889
1992,-3.349
2022.5,-7.323
2053.5,-13.446
2084,-15.317
2114.5,-16.69
2145,-17.789
2175.5,-17.627
2206.5,-18.69
2236.5,-19.624
2266.5,-18.706
2297,-20.901
2327.5,-23.986
2358,-23.278
2388.5,-26.358
2419.5,-30.649
2450,-34.136
2480.5,-36.454
2511,-33.051
2541.5,-32
2572.5,-32.54
2602,-36.771
2631.5,-38.87
2662,-40.621
2692.5,-42.524
2723,-43.373
2753.5,-47.134
2784.5,-55.182
2815,-59.855
2845.5,-57.876
2876,-57.912
2906.5,-59.427
2937.5,-60.769
2967,-61.816
2996.5,-63.167
3027,-64.59
3057.5,-64.866
3088,-70.024
3118.5,-76.871
3149.5,-82.667
3180,-83.968
3210.5,-85.039
3241,-86.839
3269.5,-87.872
3335.5,-88.614
3361.5,-90.236
3392,-91.163
3422.5,-96.421
3485.5,-106.355
3514.5,-113.907
3545,-115.258
3575.5,-118.377
3591.5,-119.314
3652,-121.493
3667.5,-123.614
3697.5,-123.936
3727.5,-127.881
3746.5,-127.154
3819,-130.599
3849.5,-136.789
3880.5,-144.212
3908,-149.448
3974.5,-147.942
4002.5,-146.107
4033.5,-148.402
4062,-152.977
4128,-154.576
4153.5,-153.848
4184,-153.727
4214.5,-160.006
4306.5,-165.154
4337,-164.472
4367.5,-165.384
4391.5,-167.238
4457.5,-174.211
4488,-174.432
4518.5,-174.731
4546,-175.957
4610.5,-186.463
4641,-185.025
4671.5,-184.16
4703,-185.238
4769.5,-188.488
4793,-187.24
4822.5,-187.909
4853,-192.881
4864,-194.075
4943.5,-201.434
4975.5,-203.15
5004.5,-205.051
5104.5,-203.79
5128.5,-203.813
5157,-206.855
5188.5,-209.386
5253,-208.26
5280,-205.768
5309.5,-210.194
5346.5,-218.725
5444.5,-215.585
5471.5,-215.379
5499,-214.489
5568.5,-219.217
5592.5,-221.624
5610.5,-220.384
5640,-215.229
