mscn_sol,JPL
mscn,324
lat,
lon,
mscn_area,120808.4553
CRI Filter,land
land_area,33112.8103
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,Gt
106.5,52.696
129.5,56.789
227.5,46.545
258,46.761
288.5,40.652
319,35.465
349.5,42.349
380.5,45.058
410,46.567
439.5,41.852
470,44.806
495.5,47.099
561.5,45.973
592.5,38.988
623,36.411
653,32.236
684,27.801
714.5,33.426
736.5,31.734
777,30.13
805.5,26.231
836,34.226
866.5,34.423
897,32.395
927.5,26.675
958.5,26.821
989,27.554
1019.5,21.419
1050,18.845
1080.5,24.309
1111.5,21.86
1141,28.321
1170.5,30.931
1201,25.399
1231.5,26.288
1262,22.022
1292.5,24.558
1323.5,15.946
1354,10.438
1384.5,5.858
1415,4.233
1445.5,15.088
1476.5,12.345
1506,11.688
1535.5,12.945
1566,9.196
1596.5,14.056
1627,12.495
1657.5,7.618
1688.5,4.169
1719,-3.367
1749.5,-4.315
1780,-7.045
1810.5,-8.014
1841.5,-2.508
1871,-8.731
1900.5,-4.836
1931,0.23
1961.5,0.29
1992,1.834
2022.5,-1.687
2053.5,-9.261
2084,-7.82
2114.5,-14.832
2145,-12.764
2175.5,-14.94
2206.5,-12.914
2236.5,-15.845
2266.5,-13.978
2297,-15.222
2327.5,-16.098
2358,-12.645
2388.5,-17.027
2419.5,-22.486
2450,-24.546
2480.5,-28.995
2511,-24.519
2541.5,-27.537
2572.5,-27.634
2602,-21.839
2631.5,-21.097
2662,-20.729
2692.5,-25.664
2723,-21.239
2753.5,-26.751
2784.5,-29.554
2815,-30.136
2845.5,-30.322
2876,-35.472
2906.5,-30.198
2937.5,-30.975
2967,-31.348
2996.5,-33.547
3027,-30.659
3057.5,-28.465
3088,-36.312
3118.5,-43.554
3149.5,-47.924
3180,-57.515
3210.5,-59.41
3241,-61.752
3269.5,-54.928
3335.5,-63.345
3361.5,-55.196
3392,-55.684
3422.5,-59.582
3485.5,-63.686
3514.5,-70.587
3545,-69.835
3575.5,-70.868
3591.5,-72.113
3652,-72.685
3667.5,-72.497
3697.5,-69.64
3727.5,-65.178
3746.5,-69.575
3819,-73.623
3849.5,-81.546
3880.5,-83.345
3908,-91.584
3974.5,-99.78
4002.5,-96.919
4033.5,-93.546
4062,-91.354
4128,-99.355
4153.5,-91.99
4184,-90.411
4214.5,-88.351
4306.5,-102.585
4337,-99.764
4367.5,-101.341
4391.5,-103.091
4457.5,-93.186
4488,-92.539
4518.5,-89.666
4546,-97.455
4610.5,-106.392
4641,-108.887
4671.5,-111.605
4703,-117.087
4769.5,-108.184
4793,-108.494
4822.5,-105.027
4853,-110.376
4864,-104.832
4943.5,-116.343
4975.5,-115.259
5004.5,-121.3
5104.5,-128.06
5128.5,-125.079
5157,-119.524
5188.5,-112.684
5253,-116.538
5280,-114.062
5309.5,-118.439
5346.5,-124.326
5444.5,-130.387
5471.5,-135.122
5499,-128.887
5568.5,-130.103
5592.5,-128.017
5610.5,-129.373
5640,-129.509
