mscn_sol,JPL
mscn,166
lat,
lon,
mscn_area,113230.1435
CRI Filter,land
land_area,113230.1435
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,Gt
106.5,-1.762
129.5,-3.249
227.5,-14.784
258,-13.402
288.5,-12.555
319,-8.342
349.5,-6.999
380.5,-3.835
410,-3.389
439.5,0.851
470,3.688
495.5,4.451
561.5,-2.356
592.5,-4.962
623,-5.447
653,-4.721
684,-3.626
714.5,-1.965
736.5,-0.2
777,-0.002
805.5,1.848
836,6.356
866.5,5.171
897,3.465
927.5,1.992
958.5,-1.03
989,-2.332
1019.5,-1.291
1050,1.742
1080.5,3.811
1111.5,3.757
1141,5.477
1170.5,8.097
1201,8.492
1231.5,10.16
1262,7.251
1292.5,3.514
1323.5,-3.258
1354,-5.566
1384.5,-5.466
1415,-6.048
1445.5,-3.433
1476.5,-3.782
1506,-1.319
1535.5,-1.121
1566,0.548
1596.5,-3.816
1627,-1.773
1657.5,-4.075
1688.5,-8.908
1719,-10.276
1749.5,-9.959
1780,-9.254
1810.5,-7.523
1841.5,-5.918
1871,-4.536
1900.5,-4.14
1931,-3.274
1961.5,-2.622
1992,-3.918
2022.5,-8.544
2053.5,-12.977
2084,-12.652
2114.5,-13.156
2145,-10.753
2175.5,-6.914
2206.5,-3.063
2236.5,-1.839
2266.5,1.673
2297,1.24
2327.5,1.683
2358,1.084
2388.5,-0.468
2419.5,-2.507
2450,-2.091
2480.5,0.338
2511,4.684
2541.5,10.11
2572.5,13.127
2602,11.146
2631.5,11.341
2662,11.061
2692.5,13.075
2723,12.192
2753.5,9.854
2784.5,2.09
2815,1.405
2845.5,3.56
2876,4.623
2906.5,3.841
2937.5,6.706
2967,7.645
2996.5,9.214
3027,7.793
3057.5,10.107
3088,5.526
3118.5,-0.41
3149.5,-5.74
3180,-6.587
3210.5,-3.703
3241,-4.068
3269.5,0.708
3335.5,4.942
3361.5,6.723
3392,8.253
3422.5,8.09
3485.5,3.554
3514.5,-1.054
3545,-2.752
3575.5,-0.825
3591.5,1.316
3652,6.377
3667.5,8.212
3697.5,8.486
3727.5,12.726
3746.5,14.551
3819,14.477
3849.5,10.686
3880.5,-1.33
3908,-1.407
3974.5,0.645
4002.5,3.217
4033.5,3.867
4062,3.173
4128,6.186
4153.5,8.916
4184,8.691
4214.5,0.797
4306.5,0.681
4337,2.284
4367.5,5.779
4391.5,4.743
4457.5,8.122
4488,7.762
4518.5,8.371
4546,7.326
4610.5,1.134
4641,0.981
4671.5,3.044
4703,4.688
4769.5,10.309
4793,14.678
4822.5,12.3
4853,14.051
4864,13.334
4943.5,9.646
4975.5,6.548
5004.5,6.277
5104.5,7.99
5128.5,7.404
5157,3.296
5188.5,3.705
5253,2.805
5280,2.522
5309.5,-3.955
5346.5,-13.85
5444.5,-6.433
5471.5,-7.56
5499,-6.163
5568.5,-2.736
5592.5,-3.317
5610.5,-3.202
5640,-3.049
