mscn_sol,JPL
mscn,266
lat,
lon,
mscn_area,109691.782
CRI Filter,land
land_area,82574.4096
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,Gt
106.5,95.214
129.5,107.653
227.5,81.731
258,80.454
288.5,80.389
319,87.812
349.5,91.15
380.5,103.392
410,117.685
439.5,126.724
470,139.213
495.5,140.337
561.5,133.724
592.5,115.706
623,95.313
653,90.76
684,97.857
714.5,102.671
736.5,102.085
777,104.793
805.5,107.57
836,113.851
866.5,120.888
897,116.204
927.5,106.699
958.5,84.367
989,69.407
1019.5,63.098
1050,64.415
1080.5,57.26
1111.5,56.261
1141,60.296
1170.5,64.861
1201,69.09
1231.5,68.623
1262,61.092
1292.5,49.344
1323.5,25.238
1354,11.907
1384.5,11.042
1415,16.048
1445.5,22.617
1476.5,20.66
1506,27.394
1535.5,35.415
1566,32.89
1596.5,24.713
1627,22.916
1657.5,9.214
1688.5,-8.804
1719,-15.499
1749.5,-20.169
1780,-24.644
1810.5,-29.908
1841.5,-22.414
1871,-3.243
1900.5,3.332
1931,5.794
1961.5,6.11
1992,5.043
2022.5,-13.671
2053.5,-34.15
2084,-44.75
2114.5,-56.14
2145,-49.028
2175.5,-40.545
2206.5,-36.161
2236.5,-39.767
2266.5,-37.236
2297,-30.228
2327.5,-27.299
2358,-28.835
2388.5,-45.721
2419.5,-77.312
2450,-93.324
2480.5,-88.919
2511,-83.346
2541.5,-71.089
2572.5,-64.009
2602,-64.104
2631.5,-51.181
2662,-49.148
2692.5,-46.891
2723,-45.962
2753.5,-60.739
2784.5,-81.225
2815,-89.065
2845.5,-86.216
2876,-84.834
2906.5,-74.963
2937.5,-71.014
2967,-57.789
2996.5,-54.541
3027,-56.164
3057.5,-52.124
3088,-67.842
3118.5,-87.317
3149.5,-110.513
3180,-137.32
3210.5,-132.552
3241,-135.765
3269.5,-132.474
3335.5,-122.816
3361.5,-116.847
3392,-121.054
3422.5,-126.942
3485.5,-133.707
3514.5,-151.591
3545,-168.951
3575.5,-173.805
3591.5,-175.074
3652,-171.086
3667.5,-160.665
3697.5,-157.007
3727.5,-146.989
3746.5,-135.929
3819,-135.515
3849.5,-166.203
3880.5,-216.417
3908,-232.387
3974.5,-212.865
4002.5,-198.755
4033.5,-198.124
4062,-182.859
4128,-175.603
4153.5,-171.326
4184,-170.396
4214.5,-180.504
4306.5,-206.208
4337,-203.755
4367.5,-199.371
4391.5,-191.699
4457.5,-163.229
4488,-158.274
4518.5,-149.679
4546,-157.916
4610.5,-189.97
4641,-204.753
4671.5,-209.274
4703,-209.617
4769.5,-206.894
4793,-205.69
4822.5,-197.027
4853,-199.329
4864,-195.862
4943.5,-200.419
4975.5,-220.72
5004.5,-229.013
5104.5,-221.957
5128.5,-212.497
5157,-208.979
5188.5,-202.849
5253,-180.644
5280,-183.573
5309.5,-202.26
5346.5,-233.145
5444.5,-233.45
5471.5,-237.489
5499,-228.033
5568.5,-227.474
5592.5,-209.102
5610.5,-219.466
5640,-224.558
