mscn_sol,JPL
mscn,34
lat,
lon,
mscn_area,116299.1143
CRI Filter,land
land_area,107890.2156
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,Gt
106.5,29.68
129.5,30.686
227.5,20.356
258,18.595
288.5,18.02
319,19.317
349.5,18.377
380.5,18.488
410,19.699
439.5,20.144
470,19.209
495.5,18.809
561.5,12.15
592.5,8.388
623,9.3
653,7.948
684,8.566
714.5,11.501
736.5,11.367
777,12.025
805.5,11.021
836,13.312
866.5,9.355
897,8.98
927.5,8.202
958.5,2.832
989,2.153
1019.5,1.701
1050,4.356
1080.5,8.355
1111.5,9.031
1141,8.662
1170.5,8.76
1201,7.099
1231.5,7.211
1262,5.902
1292.5,-0.402
1323.5,-5.844
1354,-5.36
1384.5,-3.559
1415,-2.712
1445.5,-0.674
1476.5,0.612
1506,-0.346
1535.5,-0.562
1566,0.29
1596.5,0.175
1627,1.338
1657.5,-1.11
1688.5,-1.87
1719,-1.903
1749.5,-2.497
1780,1.319
1810.5,4.401
1841.5,3.982
1871,3.308
1900.5,6.845
1931,6.878
1961.5,5.425
1992,4.527
2022.5,3.949
2053.5,1.355
2084,0.34
2114.5,-1.602
2145,0.2
2175.5,3.982
2206.5,5.443
2236.5,5.353
2266.5,6.559
2297,4.768
2327.5,3.224
2358,2.853
2388.5,-2.829
2419.5,-10.038
2450,-11.359
2480.5,-10.812
2511,-9.147
2541.5,-6.57
2572.5,-6.335
2602,-8.092
2631.5,-8.722
2662,-6.89
2692.5,-6.083
2723,-6.829
2753.5,-11.765
2784.5,-17.033
2815,-17.314
2845.5,-17.61
2876,-16.184
2906.5,-15.399
2937.5,-14.481
2967,-15.038
2996.5,-14.718
3027,-15.322
3057.5,-13.006
3088,-14.185
3118.5,-21.227
3149.5,-25.151
3180,-23.988
3210.5,-21.697
3241,-20.449
3269.5,-17.476
3335.5,-15.756
3361.5,-12.805
3392,-13.158
3422.5,-15.916
3485.5,-22.869
3514.5,-29.002
3545,-29.757
3575.5,-30.331
3591.5,-29.018
3652,-23.189
3667.5,-24.152
3697.5,-24.365
3727.5,-20.948
3746.5,-24.163
3819,-26.635
3849.5,-31.982
3880.5,-39.661
3908,-40.743
3974.5,-38.66
4002.5,-41.084
4033.5,-36.43
4062,-38.011
4128,-39.189
4153.5,-37.817
4184,-35.281
4214.5,-39.28
4306.5,-37.305
4337,-34.944
4367.5,-33.014
4391.5,-34.43
4457.5,-32.484
4488,-34.092
4518.5,-35.076
4546,-36.318
4610.5,-44.314
4641,-44.206
4671.5,-43.621
4703,-42.191
4769.5,-41.758
4793,-39.851
4822.5,-39.013
4853,-40.824
4864,-41.477
4943.5,-52.549
4975.5,-55.592
5004.5,-57.123
5104.5,-55.993
5128.5,-57.255
5157,-53.831
5188.5,-55.064
5253,-57.207
5280,-55.242
5309.5,-60.442
5346.5,-65.894
5444.5,-59.749
5471.5,-59.597
5499,-55.296
5568.5,-56.519
5592.5,-59.283
5610.5,-59.882
5640,-56.44
