mscn_sol,JPL
mscn,167
lat,
lon,
mscn_area,119890.7402
CRI Filter,land
land_area,90840.2539
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,Gt
106.5,106.741
129.5,114.255
227.5,83.789
258,84.222
288.5,93.95
319,96.372
349.5,105.26
380.5,111.769
410,109.319
439.5,126.406
470,143.245
495.5,137.555
561.5,126.276
592.5,111.138
623,105.952
653,103.845
684,104.803
714.5,105.76
736.5,101.659
777,107.658
805.5,122.093
836,124.184
866.5,127.143
897,117.598
927.5,105.133
958.5,90.998
989,86.818
1019.5,90.208
1050,87.21
1080.5,82.856
1111.5,83.838
1141,83.662
1170.5,84.805
1201,82.353
1231.5,86.602
1262,75.24
1292.5,61.278
1323.5,38.327
1354,25.25
1384.5,22.105
1415,19.354
1445.5,19.453
1476.5,20.145
1506,28.333
1535.5,32.967
1566,24.201
1596.5,20.832
1627,16.921
1657.5,9.793
1688.5,-8.703
1719,-16.748
1749.5,-12.867
1780,-18.989
1810.5,-24.546
1841.5,-20.607
1871,-11.637
1900.5,-19.498
1931,-18.159
1961.5,-14.349
1992,-19.886
2022.5,-43.285
2053.5,-66.155
2084,-76.587
2114.5,-69.328
2145,-66.705
2175.5,-64.216
2206.5,-55.915
2236.5,-50.653
2266.5,-39.105
2297,-45.595
2327.5,-46.479
2358,-46.187
2388.5,-61.103
2419.5,-75.868
2450,-73.173
2480.5,-66.496
2511,-66.055
2541.5,-61.741
2572.5,-57.641
2602,-53.446
2631.5,-58.809
2662,-59.795
2692.5,-48.388
2723,-53.065
2753.5,-60.792
2784.5,-81.394
2815,-86.807
2845.5,-88.552
2876,-83.143
2906.5,-86.546
2937.5,-81.773
2967,-78.976
2996.5,-78.167
3027,-83.975
3057.5,-86.099
3088,-94.824
3118.5,-108.844
3149.5,-133.541
3180,-139.132
3210.5,-133.93
3241,-137.516
3269.5,-142.006
3335.5,-135.058
3361.5,-138.403
3392,-133.324
3422.5,-127.519
3485.5,-152.566
3514.5,-171.914
3545,-180.945
3575.5,-175.873
3591.5,-174.13
3652,-174.667
3667.5,-174.835
3697.5,-166.808
3727.5,-159.455
3746.5,-161.139
3819,-171.527
3849.5,-198.653
3880.5,-228.501
3908,-238.088
3974.5,-239.406
4002.5,-240.369
4033.5,-235.267
4062,-231.917
4128,-229.372
4153.5,-229.187
4184,-231.776
4214.5,-246.651
4306.5,-265.365
4337,-269.522
4367.5,-268.255
4391.5,-259.482
4457.5,-264.888
4488,-254.362
4518.5,-253.94
4546,-254.243
4610.5,-293.592
4641,-294.955
4671.5,-295.41
4703,-285.379
4769.5,-266.22
4793,-266.661
4822.5,-250.456
4853,-255.402
4864,-250.248
4943.5,-272.389
4975.5,-286.316
5004.5,-281.497
5104.5,-270.202
5128.5,-263.999
5157,-262.787
5188.5,-264.979
5253,-260.439
5280,-266.906
5309.5,-284.841
5346.5,-304.16
5444.5,-281.4
5471.5,-279.201
5499,-271.298
5568.5,-261.194
5592.5,-256.863
5610.5,-255.662
5640,-264.274
