mscn_sol,JPL
mscn,168
lat,
lon,
mscn_area,113230.1435
CRI Filter,land
land_area,7480.4003
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,Gt
106.5,-2.845
129.5,-1.87
227.5,-5.012
258,-3.487
288.5,-3.954
319,-2.514
349.5,-0.412
380.5,0.367
410,-2.93
439.5,-1.197
470,3.121
495.5,1.564
561.5,-3.243
592.5,-6.209
623,-5.619
653,-5.425
684,-9.635
714.5,-10.357
736.5,-11.067
777,-8.781
805.5,-7.717
836,-10.309
866.5,-8.072
897,-6.538
927.5,-9.868
958.5,-9.349
989,-9.395
1019.5,-8.105
1050,-9.846
1080.5,-10.062
1111.5,-10.281
1141,-9.339
1170.5,-9.972
1201,-9.035
1231.5,-9.244
1262,-6.334
1292.5,-8.388
1323.5,-9.898
1354,-12.102
1384.5,-13.103
1415,-9.576
1445.5,-9.756
1476.5,-10.1
1506,-8.963
1535.5,-8.444
1566,-7.619
1596.5,-3.732
1627,-4.124
1657.5,-4.815
1688.5,-6.97
1719,-4.825
1749.5,-1.677
1780,-2.85
1810.5,-4.984
1841.5,-3.406
1871,-0.268
1900.5,-2.34
1931,-0.001
1961.5,1.307
1992,3.538
2022.5,2.037
2053.5,-1.133
2084,-1.191
2114.5,1.101
2145,3.359
2175.5,2.527
2206.5,3.579
2236.5,4.041
2266.5,6.818
2297,7.712
2327.5,9.671
2358,9.952
2388.5,9.049
2419.5,6.8
2450,9.441
2480.5,7.732
2511,9.251
2541.5,9.909
2572.5,10.461
2602,14.271
2631.5,12.768
2662,13.957
2692.5,17.961
2723,19.393
2753.5,19.284
2784.5,17.239
2815,15.913
2845.5,18.12
2876,18.54
2906.5,17.851
2937.5,17.969
2967,17.361
2996.5,17.85
3027,18.015
3057.5,19.087
3088,18.604
3118.5,17.309
3149.5,14.15
3180,13.967
3210.5,14.358
3241,14.79
3269.5,11.94
3335.5,15.083
3361.5,13.697
3392,16.145
3422.5,20.509
3485.5,21.342
3514.5,19.758
3545,22.295
3575.5,22.128
3591.5,22.445
3652,24.07
3667.5,24.016
3697.5,27.812
3727.5,27.994
3746.5,28.788
3819,30.891
3849.5,27.725
3880.5,24.596
3908,22.407
3974.5,24.326
4002.5,26.813
4033.5,25.979
4062,26.834
4128,27.682
4153.5,28.168
4184,30.337
4214.5,29.594
4306.5,29.44
4337,27.688
4367.5,27.86
4391.5,30.811
4457.5,31.163
4488,35.667
4518.5,36.834
4546,34.919
4610.5,34.03
4641,31.317
4671.5,36.113
4703,35.287
4769.5,34.3
4793,34.621
4822.5,39.007
4853,40.137
4864,40.664
4943.5,38.96
4975.5,39.698
5004.5,38.922
5104.5,40.202
5128.5,39.387
5157,40.41
5188.5,37.327
5253,38.102
5280,38.488
5309.5,33.344
5346.5,32.748
5444.5,32.071
5471.5,32.081
5499,29.639
5568.5,27.704
5592.5,28.707
5610.5,31.721
5640,27.389
