mscn_sol,JPL
mscn,86
lat,
lon,
mscn_area,110638.9489
CRI Filter,land
land_area,14779.4664
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,Gt
106.5,66.315
129.5,70.788
227.5,63.342
258,59.276
288.5,60.834
319,61.185
349.5,58.398
380.5,54.683
410,52.924
439.5,51.646
470,50.767
495.5,51.204
561.5,41.046
592.5,42.363
623,43.936
653,44.057
684,41.08
714.5,38.338
736.5,38.148
777,36.815
805.5,35.047
836,34.483
866.5,31.049
897,29.627
927.5,28.979
958.5,30.547
989,29.603
1019.5,26.829
1050,30.551
1080.5,32.865
1111.5,31.974
1141,29.25
1170.5,29.547
1201,28.26
1231.5,27.85
1262,27.841
1292.5,25.402
1323.5,19.678
1354,16.856
1384.5,16.422
1415,17.602
1445.5,20.091
1476.5,15.765
1506,15.069
1535.5,11.796
1566,10.928
1596.5,10.924
1627,10.8
1657.5,7.836
1688.5,4.389
1719,2.228
1749.5,5.904
1780,4.048
1810.5,4.955
1841.5,2.787
1871,1.123
1900.5,0.063
1931,1.025
1961.5,-1.165
1992,-2.417
2022.5,-3.214
2053.5,-8.247
2084,-10.446
2114.5,-9.986
2145,-11.061
2175.5,-11.664
2206.5,-11.329
2236.5,-11.444
2266.5,-12.587
2297,-16.1
2327.5,-19.203
2358,-17.705
2388.5,-20.236
2419.5,-22.799
2450,-27.136
2480.5,-30.053
2511,-28.527
2541.5,-25.476
2572.5,-25.543
2602,-31.064
2631.5,-32.811
2662,-34.358
2692.5,-36.436
2723,-34.99
2753.5,-39.015
2784.5,-47.15
2815,-52.002
2845.5,-51.549
2876,-50.002
2906.5,-49.241
2937.5,-52.538
2967,-53.795
2996.5,-55.257
3027,-55.005
3057.5,-55.2
3088,-58.739
3118.5,-64.137
3149.5,-68.412
3180,-70.001
3210.5,-70.837
3241,-71.884
3269.5,-73.533
3335.5,-74.395
3361.5,-73.715
3392,-76.049
3422.5,-79.383
3485.5,-86.566
3514.5,-90.355
3545,-91.235
3575.5,-91.472
3591.5,-91.858
3652,-92.119
3667.5,-93.739
3697.5,-94.14
3727.5,-98.073
3746.5,-98.296
3819,-100.356
3849.5,-102.125
3880.5,-108.797
3908,-113.258
3974.5,-112.367
4002.5,-108.308
4033.5,-113.614
4062,-117.117
4128,-119.266
4153.5,-118.717
4184,-117.244
4214.5,-118.18
4306.5,-122.797
4337,-120.863
4367.5,-121.549
4391.5,-124.484
4457.5,-131.007
4488,-131.03
4518.5,-132.037
4546,-133.021
4610.5,-138.778
4641,-138.293
4671.5,-138.272
4703,-138.369
4769.5,-142.066
4793,-140.519
4822.5,-144.114
4853,-145.041
4864,-147.73
4943.5,-154.055
4975.5,-155.936
5004.5,-157.372
5104.5,-159.541
5128.5,-155.125
5157,-161.604
5188.5,-165.376
5253,-167.8
5280,-165.874
5309.5,-167.151
5346.5,-174.611
5444.5,-175.277
5471.5,-176.511
5499,-175.386
5568.5,-183.685
5592.5,-187.101
5610.5,-189.304
5640,-186.478
