mscn_sol,JPL
mscn,59
lat,
lon,
mscn_area,115926.8779
CRI Filter,land
land_area,75259.8798
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,Gt
106.5,46.652
129.5,48.57
227.5,37.337
258,39.363
288.5,40.046
319,38.407
349.5,37.207
380.5,40.572
410,40.606
439.5,40.965
470,38.113
495.5,36.99
561.5,31.424
592.5,25.874
623,26.028
653,23.517
684,21.109
714.5,22.58
736.5,19.7
777,18.808
805.5,15.424
836,13.737
866.5,14.77
897,16.119
927.5,13.319
958.5,6.976
989,5.064
1019.5,4.42
1050,4.504
1080.5,6.263
1111.5,4.636
1141,4.354
1170.5,4.766
1201,4.659
1231.5,8.841
1262,7.215
1292.5,-0.875
1323.5,-4.35
1354,-3.611
1384.5,-1.859
1415,-1.226
1445.5,2.351
1476.5,0.923
1506,4.135
1535.5,5.086
1566,8.11
1596.5,10.437
1627,10.97
1657.5,9.812
1688.5,8.335
1719,9.009
1749.5,10.261
1780,10.043
1810.5,9.923
1841.5,10.916
1871,10.907
1900.5,10.654
1931,11.836
1961.5,9.692
1992,9.288
2022.5,8.002
2053.5,5.458
2084,1.588
2114.5,-0.571
2145,-0.211
2175.5,2.301
2206.5,2.447
2236.5,2.67
2266.5,2.834
2297,-0.35
2327.5,0.844
2358,1.094
2388.5,-7.987
2419.5,-16.039
2450,-19.42
2480.5,-17.937
2511,-16.09
2541.5,-15.017
2572.5,-16.872
2602,-19.963
2631.5,-20.194
2662,-18.006
2692.5,-19.757
2723,-19.624
2753.5,-22.703
2784.5,-26.295
2815,-24.891
2845.5,-23.304
2876,-22.836
2906.5,-23.513
2937.5,-22.987
2967,-22.698
2996.5,-21.412
3027,-23.104
3057.5,-24.305
3088,-26.013
3118.5,-31.686
3149.5,-35.491
3180,-37.982
3210.5,-37.89
3241,-40.779
3269.5,-41.196
3335.5,-40.859
3361.5,-43.05
3392,-45.56
3422.5,-46.463
3485.5,-48.383
3514.5,-53.438
3545,-54.04
3575.5,-56.951
3591.5,-57.016
3652,-54.542
3667.5,-55.413
3697.5,-56.557
3727.5,-54.326
3746.5,-56.51
3819,-55.72
3849.5,-61.109
3880.5,-69.97
3908,-70.405
3974.5,-68.105
4002.5,-70.916
4033.5,-75.314
4062,-75.278
4128,-75.184
4153.5,-75.114
4184,-78.145
4214.5,-84.447
4306.5,-75.033
4337,-77.546
4367.5,-80.108
4391.5,-77.673
4457.5,-75.246
4488,-76.522
4518.5,-79.429
4546,-82.479
4610.5,-84.076
4641,-84.251
4671.5,-84.45
4703,-81.986
4769.5,-72.422
4793,-72.147
4822.5,-69.15
4853,-69.878
4864,-69.773
4943.5,-75.806
4975.5,-81.869
5004.5,-84.74
5104.5,-80.567
5128.5,-81.84
5157,-80.602
5188.5,-84.654
5253,-85.421
5280,-86.459
5309.5,-93.471
5346.5,-100.613
5444.5,-96.869
5471.5,-99.374
5499,-95.96
5568.5,-97.668
5592.5,-104.248
5610.5,-110.063
5640,-112.013
