mscn_sol,JPL
mscn,265
lat,
lon,
mscn_area,118129.6114
CRI Filter,land
land_area,71300.0286
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,Gt
106.5,35.692
129.5,40.811
227.5,31.059
258,18.301
288.5,22.61
319,13.79
349.5,23.288
380.5,24.424
410,23.161
439.5,20.355
470,24.828
495.5,29.462
561.5,16.165
592.5,-0.432
623,-3.773
653,-2.903
684,2.424
714.5,4.877
736.5,3.77
777,-0.977
805.5,7.041
836,18.344
866.5,19.045
897,15.437
927.5,4.23
958.5,0.708
989,1.672
1019.5,2.371
1050,-3.255
1080.5,6.935
1111.5,9.149
1141,24.873
1170.5,28.824
1201,28.937
1231.5,31.784
1262,29.301
1292.5,26.632
1323.5,25.056
1354,20.883
1384.5,16.677
1415,15.056
1445.5,24.988
1476.5,31.073
1506,35.313
1535.5,31.595
1566,25.975
1596.5,34.197
1627,30.651
1657.5,23.583
1688.5,12.394
1719,0.391
1749.5,-3.365
1780,-0.989
1810.5,2.83
1841.5,1.912
1871,-0.958
1900.5,3.565
1931,9.456
1961.5,12.915
1992,12.601
2022.5,-2.336
2053.5,-16.351
2084,-18.859
2114.5,-16.901
2145,-13.601
2175.5,-11.026
2206.5,-12.465
2236.5,-12.641
2266.5,-6.53
2297,-4.389
2327.5,-10.968
2358,-15.566
2388.5,-23.779
2419.5,-28.037
2450,-28.026
2480.5,-33.518
2511,-26.781
2541.5,-22.605
2572.5,-22.086
2602,-17.901
2631.5,-19.632
2662,-16.163
2692.5,-15.968
2723,-16.726
2753.5,-24.209
2784.5,-32.849
2815,-38.918
2845.5,-37.945
2876,-43.836
2906.5,-30.009
2937.5,-33.226
2967,-33.916
2996.5,-37.376
3027,-39.879
3057.5,-32.052
3088,-37.268
3118.5,-52.778
3149.5,-70.545
3180,-80.602
3210.5,-76.615
3241,-73.044
3269.5,-69.237
3335.5,-72.949
3361.5,-66.886
3392,-67.493
3422.5,-67.485
3485.5,-82.992
3514.5,-96.099
3545,-91.139
3575.5,-92.268
3591.5,-98.797
3652,-94.892
3667.5,-95.967
3697.5,-87.675
3727.5,-86.738
3746.5,-78.053
3819,-82.989
3849.5,-109.949
3880.5,-116.88
3908,-131.728
3974.5,-129.651
4002.5,-135.14
4033.5,-125.077
4062,-119.371
4128,-129.491
4153.5,-126.865
4184,-115.497
4214.5,-119.389
4306.5,-132.198
4337,-132.044
4367.5,-120.771
4391.5,-124.459
4457.5,-118.018
4488,-117.876
4518.5,-117.081
4546,-115.683
4610.5,-143.7
4641,-145.317
4671.5,-140.376
4703,-145.481
4769.5,-128.585
4793,-127.726
4822.5,-135.854
4853,-123.073
4864,-130.445
4943.5,-147.423
4975.5,-146.334
5004.5,-145.485
5104.5,-141.543
5128.5,-147.835
5157,-143.799
5188.5,-136.511
5253,-144.906
5280,-146.071
5309.5,-152.888
5346.5,-166.028
5444.5,-166.676
5471.5,-169.115
5499,-162.682
5568.5,-161.463
5592.5,-161.048
5610.5,-163.326
5640,-161.672
